Problem,Order,Topic,Difficulty,LeetCode Link,Source List,Memory Cue,Target Time,Target Space,Status,Time Taken (mins),My Summary,My Approach,My Pattern,Mistakes,Retry Date,Notes
Contains Duplicate,1,Arrays & Hashing,Easy,https://leetcode.com/problems/contains-duplicate/,https://neetcode.io/practice/practice/neetcode150,"Use a Set; if seen before, duplicate exists.",O(n),O(n),,,,,,,,
Valid Anagram,2,Arrays & Hashing,Easy,https://leetcode.com/problems/valid-anagram/,https://neetcode.io/practice/practice/neetcode150,Order does not matter; compare character counts.,O(n),O(1) for lowercase / O(n) general,,,,,,,,
Two Sum,3,Arrays & Hashing,Easy,https://leetcode.com/problems/two-sum/,https://neetcode.io/practice/practice/neetcode150,"For each num, check if target - num was seen in a Map.",O(n),O(n),,,,,,,,
Group Anagrams,4,Arrays & Hashing,Medium,https://leetcode.com/problems/group-anagrams/,https://neetcode.io/practice/practice/neetcode150,Create a signature key for each word; group same keys in Map.,O(n*k log k) sort-key / O(n*k) count-key,O(n*k),,,,,,,,
Top K Frequent Elements,5,Arrays & Hashing,Medium,https://leetcode.com/problems/top-k-frequent-elements/,https://neetcode.io/practice/practice/neetcode150,Count frequency first; then get the k highest via bucket/heap/sort.,O(n) bucket / O(n log k) heap,O(n),,,,,,,,
Encode and Decode Strings,6,Arrays & Hashing,Medium,https://leetcode.com/problems/encode-and-decode-strings/,https://neetcode.io/practice/practice/neetcode150,Use length-prefix encoding so separators inside strings do not break decoding.,O(n),O(n),,,,,,,,
Product of Array Except Self,7,Arrays & Hashing,Medium,https://leetcode.com/problems/product-of-array-except-self/,https://neetcode.io/practice/practice/neetcode150,answer[i] = product before i * product after i.,O(n),O(1) extra excluding output,,,,,,,,
Valid Sudoku,8,Arrays & Hashing,Medium,https://leetcode.com/problems/valid-sudoku/,https://neetcode.io/practice/practice/neetcode150,"Track seen values for each row, column, and 3x3 box.",O(1) fixed 9x9,O(1) fixed 9x9,,,,,,,,
Longest Consecutive Sequence,9,Arrays & Hashing,Medium,https://leetcode.com/problems/longest-consecutive-sequence/,https://neetcode.io/practice/practice/neetcode150,Start counting only when num - 1 is absent from the Set.,O(n),O(n),,,,,,,,
Valid Palindrome,10,Two Pointers,Easy,https://leetcode.com/problems/valid-palindrome/,https://neetcode.io/practice/practice/neetcode150,Use left/right pointers; skip non-alphanumeric characters.,O(n),O(1),,,,,,,,
Two Sum II - Input Array Is Sorted,11,Two Pointers,Medium,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,https://neetcode.io/practice/practice/neetcode150,Sorted array lets you move left/right based on current sum.,O(n),O(1),,,,,,,,
3Sum,12,Two Pointers,Medium,https://leetcode.com/problems/3sum/,https://neetcode.io/practice/practice/neetcode150,Sort first; fix one number and solve two-sum with two pointers.,O(n^2),O(1) excluding output,,,,,,,,
Container With Most Water,13,Two Pointers,Medium,https://leetcode.com/problems/container-with-most-water/,https://neetcode.io/practice/practice/neetcode150,Move the pointer at the shorter height; width always shrinks.,O(n),O(1),,,,,,,,
Trapping Rain Water,14,Two Pointers,Hard,https://leetcode.com/problems/trapping-rain-water/,https://neetcode.io/practice/practice/neetcode150,"Water depends on min(leftMax, rightMax); move smaller side.",O(n),O(1),,,,,,,,
Best Time to Buy and Sell Stock,15,Sliding Window,Easy,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,https://neetcode.io/practice/practice/neetcode150,Track minimum price so far and best profit so far.,O(n),O(1),,,,,,,,
Longest Substring Without Repeating Characters,16,Sliding Window,Medium,https://leetcode.com/problems/longest-substring-without-repeating-characters/,https://neetcode.io/practice/practice/neetcode150,Maintain a window with no duplicates; move left on repeat.,O(n),O(n),,,,,,,,
Longest Repeating Character Replacement,17,Sliding Window,Medium,https://leetcode.com/problems/longest-repeating-character-replacement/,https://neetcode.io/practice/practice/neetcode150,Window is valid when window length - maxFreq <= k.,O(n),O(1),,,,,,,,
Permutation in String,18,Sliding Window,Medium,https://leetcode.com/problems/permutation-in-string/,https://neetcode.io/practice/practice/neetcode150,Fixed-size window; compare character counts.,O(n),O(1),,,,,,,,
Minimum Window Substring,19,Sliding Window,Hard,https://leetcode.com/problems/minimum-window-substring/,https://neetcode.io/practice/practice/neetcode150,"Expand until valid, then shrink to minimum valid window.",O(n),O(k),,,,,,,,
Sliding Window Maximum,20,Sliding Window,Hard,https://leetcode.com/problems/sliding-window-maximum/,https://neetcode.io/practice/practice/neetcode150,Use a decreasing deque of indexes; front is current max.,O(n),O(k),,,,,,,,
Valid Parentheses,21,Stack,Easy,https://leetcode.com/problems/valid-parentheses/,https://neetcode.io/practice/practice/neetcode150,"Push opens; for closes, top must match.",O(n),O(n),,,,,,,,
Min Stack,22,Stack,Medium,https://leetcode.com/problems/min-stack/,https://neetcode.io/practice/practice/neetcode150,Keep normal stack plus running minimum stack.,O(1) per operation,O(n),,,,,,,,
Evaluate Reverse Polish Notation,23,Stack,Medium,https://leetcode.com/problems/evaluate-reverse-polish-notation/,https://neetcode.io/practice/practice/neetcode150,Push numbers; on operator pop two and evaluate.,O(n),O(n),,,,,,,,
Daily Temperatures,24,Stack,Medium,https://leetcode.com/problems/daily-temperatures/,https://neetcode.io/practice/practice/neetcode150,Monotonic decreasing stack of unresolved days.,O(n),O(n),,,,,,,,
Car Fleet,25,Stack,Medium,https://leetcode.com/problems/car-fleet/,https://neetcode.io/practice/practice/neetcode150,Sort cars by position descending; compare time to target.,O(n log n),O(n),,,,,,,,
Largest Rectangle in Histogram,26,Stack,Hard,https://leetcode.com/problems/largest-rectangle-in-histogram/,https://neetcode.io/practice/practice/neetcode150,Monotonic increasing stack; pop when height decreases.,O(n),O(n),,,,,,,,
Binary Search,27,Binary Search,Easy,https://leetcode.com/problems/binary-search/,https://neetcode.io/practice/practice/neetcode150,Classic low/high/mid on sorted array.,O(log n),O(1),,,,,,,,
Search a 2D Matrix,28,Binary Search,Medium,https://leetcode.com/problems/search-a-2d-matrix/,https://neetcode.io/practice/practice/neetcode150,Treat matrix as one sorted array using index conversion.,O(log(m*n)),O(1),,,,,,,,
Koko Eating Bananas,29,Binary Search,Medium,https://leetcode.com/problems/koko-eating-bananas/,https://neetcode.io/practice/practice/neetcode150,Binary search the answer speed; check feasibility.,O(n log maxPile),O(1),,,,,,,,
Find Minimum in Rotated Sorted Array,30,Binary Search,Medium,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,https://neetcode.io/practice/practice/neetcode150,Use sorted half clue; compare mid with right.,O(log n),O(1),,,,,,,,
Search in Rotated Sorted Array,31,Binary Search,Medium,https://leetcode.com/problems/search-in-rotated-sorted-array/,https://neetcode.io/practice/practice/neetcode150,"Find which half is sorted, then decide where target can be.",O(log n),O(1),,,,,,,,
Time Based Key-Value Store,32,Binary Search,Medium,https://leetcode.com/problems/time-based-key-value-store/,https://neetcode.io/practice/practice/neetcode150,Map key to timestamped values; binary search latest <= timestamp.,O(log n) get / O(1) set,O(n),,,,,,,,
Median of Two Sorted Arrays,33,Binary Search,Hard,https://leetcode.com/problems/median-of-two-sorted-arrays/,https://neetcode.io/practice/practice/neetcode150,Binary search partition on smaller array.,"O(log(min(m,n)))",O(1),,,,,,,,
Reverse Linked List,34,Linked List,Easy,https://leetcode.com/problems/reverse-linked-list/,https://neetcode.io/practice/practice/neetcode150,Use prev/current; reverse one pointer at a time.,O(n),O(1),,,,,,,,
Merge Two Sorted Lists,35,Linked List,Easy,https://leetcode.com/problems/merge-two-sorted-lists/,https://neetcode.io/practice/practice/neetcode150,Use dummy node; attach smaller current node each step.,O(n+m),O(1),,,,,,,,
Reorder List,36,Linked List,Medium,https://leetcode.com/problems/reorder-list/,https://neetcode.io/practice/practice/neetcode150,"Find middle, reverse second half, merge alternately.",O(n),O(1),,,,,,,,
Remove Nth Node From End of List,37,Linked List,Medium,https://leetcode.com/problems/remove-nth-node-from-end-of-list/,https://neetcode.io/practice/practice/neetcode150,"Move fast n steps ahead, then move both pointers.",O(n),O(1),,,,,,,,
Copy List with Random Pointer,38,Linked List,Medium,https://leetcode.com/problems/copy-list-with-random-pointer/,https://neetcode.io/practice/practice/neetcode150,"Map original nodes to cloned nodes, then wire next/random.",O(n),O(n),,,,,,,,
Add Two Numbers,39,Linked List,Medium,https://leetcode.com/problems/add-two-numbers/,https://neetcode.io/practice/practice/neetcode150,Traverse both lists with carry.,"O(max(m,n))",O(1) excluding output,,,,,,,,
Linked List Cycle,40,Linked List,Easy,https://leetcode.com/problems/linked-list-cycle/,https://neetcode.io/practice/practice/neetcode150,Floyd fast/slow pointer cycle detection.,O(n),O(1),,,,,,,,
Find the Duplicate Number,41,Linked List,Medium,https://leetcode.com/problems/find-the-duplicate-number/,https://neetcode.io/practice/practice/neetcode150,Treat values as pointers; use Floyd cycle detection.,O(n),O(1),,,,,,,,
LRU Cache,42,Linked List,Medium,https://leetcode.com/problems/lru-cache/,https://neetcode.io/practice/practice/neetcode150,HashMap for lookup + doubly linked list for recency.,O(1) get/put,O(capacity),,,,,,,,
Merge k Sorted Lists,43,Linked List,Hard,https://leetcode.com/problems/merge-k-sorted-lists/,https://neetcode.io/practice/practice/neetcode150,Use min-heap of list heads.,O(n log k),O(k),,,,,,,,
Reverse Nodes in k-Group,44,Linked List,Hard,https://leetcode.com/problems/reverse-nodes-in-k-group/,https://neetcode.io/practice/practice/neetcode150,"Check group length, reverse exactly k nodes, reconnect.",O(n),O(1),,,,,,,,
Invert Binary Tree,45,Trees,Easy,https://leetcode.com/problems/invert-binary-tree/,https://neetcode.io/practice/practice/neetcode150,Swap left and right at every node.,O(n),O(h) recursion,,,,,,,,
Maximum Depth of Binary Tree,46,Trees,Easy,https://leetcode.com/problems/maximum-depth-of-binary-tree/,https://neetcode.io/practice/practice/neetcode150,"Depth = 1 + max(leftDepth, rightDepth).",O(n),O(h) recursion,,,,,,,,
Diameter of Binary Tree,47,Trees,Easy,https://leetcode.com/problems/diameter-of-binary-tree/,https://neetcode.io/practice/practice/neetcode150,"At each node, candidate diameter = leftHeight + rightHeight.",O(n),O(h) recursion,,,,,,,,
Balanced Binary Tree,48,Trees,Easy,https://leetcode.com/problems/balanced-binary-tree/,https://neetcode.io/practice/practice/neetcode150,Return height unless subtree is unbalanced.,O(n),O(h) recursion,,,,,,,,
Same Tree,49,Trees,Easy,https://leetcode.com/problems/same-tree/,https://neetcode.io/practice/practice/neetcode150,Both nodes must match; recurse left and right.,O(n),O(h) recursion,,,,,,,,
Subtree of Another Tree,50,Trees,Easy,https://leetcode.com/problems/subtree-of-another-tree/,https://neetcode.io/practice/practice/neetcode150,"For each node, check if trees are identical.",O(m*n) worst,O(h) recursion,,,,,,,,
Lowest Common Ancestor of a Binary Search Tree,51,Trees,Medium,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,https://neetcode.io/practice/practice/neetcode150,Use BST property; split point is LCA.,O(h),O(1) iterative / O(h) recursion,,,,,,,,
Binary Tree Level Order Traversal,52,Trees,Medium,https://leetcode.com/problems/binary-tree-level-order-traversal/,https://neetcode.io/practice/practice/neetcode150,BFS with queue; process level by level.,O(n),O(n),,,,,,,,
Binary Tree Right Side View,53,Trees,Medium,https://leetcode.com/problems/binary-tree-right-side-view/,https://neetcode.io/practice/practice/neetcode150,BFS levels; take last node of each level.,O(n),O(n),,,,,,,,
Count Good Nodes in Binary Tree,54,Trees,Medium,https://leetcode.com/problems/count-good-nodes-in-binary-tree/,https://neetcode.io/practice/practice/neetcode150,DFS carrying max value seen on path.,O(n),O(h) recursion,,,,,,,,
Validate Binary Search Tree,55,Trees,Medium,https://leetcode.com/problems/validate-binary-search-tree/,https://neetcode.io/practice/practice/neetcode150,DFS with allowed min/max bounds.,O(n),O(h) recursion,,,,,,,,
Kth Smallest Element in a BST,56,Trees,Medium,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,https://neetcode.io/practice/practice/neetcode150,Inorder traversal of BST gives sorted order.,O(h+k),O(h),,,,,,,,
Construct Binary Tree from Preorder and Inorder Traversal,57,Trees,Medium,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,https://neetcode.io/practice/practice/neetcode150,Preorder gives root; inorder splits left/right.,O(n),O(n),,,,,,,,
Binary Tree Maximum Path Sum,58,Trees,Hard,https://leetcode.com/problems/binary-tree-maximum-path-sum/,https://neetcode.io/practice/practice/neetcode150,DFS returns best one-side gain; global tracks path through node.,O(n),O(h) recursion,,,,,,,,
Serialize and Deserialize Binary Tree,59,Trees,Hard,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,https://neetcode.io/practice/practice/neetcode150,Use preorder with null markers.,O(n),O(n),,,,,,,,
Implement Trie (Prefix Tree),60,Tries,Medium,https://leetcode.com/problems/implement-trie-prefix-tree/,https://neetcode.io/practice/practice/neetcode150,Each node stores children and end-of-word flag.,O(L) per op,O(total characters),,,,,,,,
Design Add and Search Words Data Structure,61,Tries,Medium,https://leetcode.com/problems/design-add-and-search-words-data-structure/,https://neetcode.io/practice/practice/neetcode150,Trie plus DFS for wildcard dot.,O(26^L) worst search,O(total characters),,,,,,,,
Word Search II,62,Tries,Hard,https://leetcode.com/problems/word-search-ii/,https://neetcode.io/practice/practice/neetcode150,Build trie of words; DFS board while pruning prefixes.,O(m*n*4^L) worst,O(total word chars),,,,,,,,
Kth Largest Element in a Stream,63,Heap / Priority Queue,Easy,https://leetcode.com/problems/kth-largest-element-in-a-stream/,https://neetcode.io/practice/practice/neetcode150,Maintain min-heap of size k; root is kth largest.,O(log k) per add,O(k),,,,,,,,
Last Stone Weight,64,Heap / Priority Queue,Easy,https://leetcode.com/problems/last-stone-weight/,https://neetcode.io/practice/practice/neetcode150,Use max-heap; repeatedly smash two largest stones.,O(n log n),O(n),,,,,,,,
K Closest Points to Origin,65,Heap / Priority Queue,Medium,https://leetcode.com/problems/k-closest-points-to-origin/,https://neetcode.io/practice/practice/neetcode150,Compare points by squared distance; heap or quickselect.,O(n log k) heap / O(n) avg quickselect,O(k) heap,,,,,,,,
Kth Largest Element in an Array,66,Heap / Priority Queue,Medium,https://leetcode.com/problems/kth-largest-element-in-an-array/,https://neetcode.io/practice/practice/neetcode150,Min-heap size k or quickselect.,O(n log k) heap / O(n) avg quickselect,O(k) heap,,,,,,,,
Task Scheduler,67,Heap / Priority Queue,Medium,https://leetcode.com/problems/task-scheduler/,https://neetcode.io/practice/practice/neetcode150,Frequency counts; most frequent tasks determine idle slots.,O(n),O(1),,,,,,,,
Design Twitter,68,Heap / Priority Queue,Medium,https://leetcode.com/problems/design-twitter/,https://neetcode.io/practice/practice/neetcode150,Use follow map and heap merge of recent tweets.,O(k log k) feed,O(users + tweets + follows),,,,,,,,
Find Median from Data Stream,69,Heap / Priority Queue,Hard,https://leetcode.com/problems/find-median-from-data-stream/,https://neetcode.io/practice/practice/neetcode150,"Two heaps: max-heap lower half, min-heap upper half.",O(log n) add / O(1) median,O(n),,,,,,,,
Subsets,70,Backtracking,Medium,https://leetcode.com/problems/subsets/,https://neetcode.io/practice/practice/neetcode150,Decision tree: include or skip each number.,O(n*2^n),O(n) recursion excluding output,,,,,,,,
Combination Sum,71,Backtracking,Medium,https://leetcode.com/problems/combination-sum/,https://neetcode.io/practice/practice/neetcode150,DFS with remaining target; can reuse same candidate.,O(2^t) rough,O(t) recursion excluding output,,,,,,,,
Permutations,72,Backtracking,Medium,https://leetcode.com/problems/permutations/,https://neetcode.io/practice/practice/neetcode150,Build path using unused numbers.,O(n*n!),O(n) recursion excluding output,,,,,,,,
Subsets II,73,Backtracking,Medium,https://leetcode.com/problems/subsets-ii/,https://neetcode.io/practice/practice/neetcode150,Sort first; skip duplicates at same decision level.,O(n*2^n),O(n) recursion excluding output,,,,,,,,
